Цуху|624212
бямэ|345322.66447954
небяжю|207671.78978511755
бюфыбу|743392.5597600088
ъажоню|50249.02059451576
Цызуки|13469
мэцычи|92017.14097567953
гэребо|8939.570612955478
Леда|302753
пуже|86913.95295202291
гыдыка|107200.67246940025
Чяту|29795
жялэ|354014.20044870983
фюлабы|9591.202735409126
Гыдущи|759572
ботеки|277678.3633204006
Чязэъи|297674
ъазя|88427.81623456298
Мыдэ|456291
Каъушя|34478
губефы|164337.02719696113
Щэчиря|31120
щелю|12599.195995237911
Тахэ|422958
цэшэ|137352.77652268196
Хыжекэ|562964
Жухецэ|396959
Щулоби|484804
Муъе|41285
кожыти|102676.97611794561
сыкэ|13936.855702932691
Чожицэ|601467
Кыресэ|264276
Мафу|86119
Цюце|77068
жэзэфы|322678.35542260704
Рырэ|6644
Ряфыты|279974
Шоза|109197
Дуфо|295413
Лотэрю|1609
Нэчэфэ|274863
Нашуся|366534
Лущи|73330
Бумо|56094
Пигу|118285
чашущы|74265.50244007786
няпамэ|240952.34839594224
Зуты|508466
гещахэ|351780.6492622934
губэри|119064.17130073572
начяна|8204.090004912869
Чатефу|232281
шириды|18304.88050016318
Цуху|747686
бямэ|343120.6285357594
Небяжю|54066
бюфыбу|419111.4206772195
ъажоню|1252.8885212222758
Цызуки|23103
Мэцычи|116505
Гэребо|470325
леда|98370.63465131904
Пуже|347226
гыдыка|119144.8127746021
Чяту|116006
жялэ|54751.13109300385
фюлабы|36069.44459980387
Гыдущи|529856
Ботеки|189091
чязэъи|458350.87036844954
ъазя|56680.954401316696
Мыдэ|498242
каъушя|150302.35701528
губефы|218472.41251373448
Щэчиря|46644
Щелю|178244
Тахэ|302416
цэшэ|337573.99235988647
хыжекэ|40478.88248598491
жухецэ|838024.2313709145
щулоби|175308.92855818255
Муъе|323007
Кожыти|52967
Сыкэ|126169
чожицэ|46423.80315811795
Кыресэ|622850
Мафу|97508
цюце|393366.6491583508
жэзэфы|844749.9971717914
